t = 0 ; Y = ((12,0,0),(0,0,0))
t = 0.237 ; Y = ((11.4909,0,0),(-4.09326,0,0))
t = 0.238 ; Y = ((11.4868,0,0),(-4.10714,0,0))
t = 0.239 ; Y = ((11.4827,0,0),(-4.12099,0,0))
t = 0.24 ; Y = ((11.4785,0,0),(-4.1348,0,0))
t = 0.241 ; Y = ((11.4744,0,0),(-4.14856,0,0))
t = 0.242 ; Y = ((11.4702,0,0),(-4.16228,0,0))
t = 0.243 ; Y = ((11.4661,0,0),(-4.17597,0,0))
t = 0.244 ; Y = ((11.4619,0,0),(-4.18961,0,0))
t = 0.245 ; Y = ((11.4577,0,0),(-4.2032,0,0))
t = 0.246 ; Y = ((11.4535,0,0),(-4.21676,0,0))
t = 0.247 ; Y = ((11.4493,0,0),(-4.23027,0,0))
t = 0.248 ; Y = ((11.445,0,0),(-4.24374,0,0))
t = 0.249 ; Y = ((11.4408,0,0),(-4.25717,0,0))
t = 0.25 ; Y = ((11.4365,0,0),(-4.27056,0,0))
t = 0.251 ; Y = ((11.4322,0,0),(-4.2839,0,0))
t = 0.252 ; Y = ((11.4279,0,0),(-4.2972,0,0))
t = 0.253 ; Y = ((11.4236,0,0),(-4.31046,0,0))
t = 0.254 ; Y = ((11.4193,0,0),(-4.32368,0,0))
t = 0.255 ; Y = ((11.415,0,0),(-4.33685,0,0))
t = 0.256 ; Y = ((11.4106,0,0),(-4.34998,0,0))
t = 0.257 ; Y = ((11.4063,0,0),(-4.36306,0,0))
t = 0.258 ; Y = ((11.4019,0,0),(-4.3761,0,0))
t = 0.259 ; Y = ((11.3975,0,0),(-4.3891,0,0))
t = 0.26 ; Y = ((11.3931,0,0),(-4.40205,0,0))
t = 0.261 ; Y = ((11.3887,0,0),(-4.41496,0,0))
t = 0.262 ; Y = ((11.3843,0,0),(-4.42783,0,0))
t = 0.263 ; Y = ((11.3799,0,0),(-4.44065,0,0))
t = 0.264 ; Y = ((11.3754,0,0),(-4.45342,0,0))
t = 0.265 ; Y = ((11.371,0,0),(-4.46616,0,0))
t = 0.266 ; Y = ((11.3665,0,0),(-4.47884,0,0))
t = 0.267 ; Y = ((11.362,0,0),(-4.49149,0,0))
t = 0.268 ; Y = ((11.3575,0,0),(-4.50408,0,0))
t = 0.269 ; Y = ((11.353,0,0),(-4.51664,0,0))
t = 0.27 ; Y = ((11.3485,0,0),(-4.52914,0,0))
t = 0.271 ; Y = ((11.3439,0,0),(-4.54161,0,0))
t = 0.272 ; Y = ((11.3394,0,0),(-4.55402,0,0))
t = 0.273 ; Y = ((11.3348,0,0),(-4.56639,0,0))
t = 0.274 ; Y = ((11.3303,0,0),(-4.57872,0,0))
t = 0.275 ; Y = ((11.3257,0,0),(-4.591,0,0))
t = 0.276 ; Y = ((11.3211,0,0),(-4.60323,0,0))
t = 0.277 ; Y = ((11.3165,0,0),(-4.61542,0,0))
t = 0.278 ; Y = ((11.3118,0,0),(-4.62756,0,0))
t = 0.279 ; Y = ((11.3072,0,0),(-4.63966,0,0))
t = 0.28 ; Y = ((11.3026,0,0),(-4.65171,0,0))
t = 0.281 ; Y = ((11.2979,0,0),(-4.66371,0,0))
t = 0.282 ; Y = ((11.2932,0,0),(-4.67566,0,0))
t = 0.283 ; Y = ((11.2886,0,0),(-4.68757,0,0))
t = 0.284 ; Y = ((11.2839,0,0),(-4.69943,0,0))
t = 0.285 ; Y = ((11.2792,0,0),(-4.71125,0,0))
t = 0.286 ; Y = ((11.2744,0,0),(-4.72302,0,0))
t = 0.287 ; Y = ((11.2697,0,0),(-4.73474,0,0))
t = 0.288 ; Y = ((11.265,0,0),(-4.74641,0,0))
t = 0.289 ; Y = ((11.2602,0,0),(-4.75804,0,0))
t = 0.29 ; Y = ((11.2555,0,0),(-4.76962,0,0))
t = 0.291 ; Y = ((11.2507,0,0),(-4.78115,0,0))
t = 0.292 ; Y = ((11.2459,0,0),(-4.79263,0,0))
t = 0.293 ; Y = ((11.2411,0,0),(-4.80406,0,0))
t = 0.294 ; Y = ((11.2363,0,0),(-4.81545,0,0))
t = 0.295 ; Y = ((11.2315,0,0),(-4.82679,0,0))
t = 0.296 ; Y = ((11.2266,0,0),(-4.83808,0,0))
t = 0.297 ; Y = ((11.2218,0,0),(-4.84932,0,0))
t = 0.298 ; Y = ((11.2169,0,0),(-4.86052,0,0))
t = 0.299 ; Y = ((11.2121,0,0),(-4.87166,0,0))
t = 0.3 ; Y = ((11.2072,0,0),(-4.88276,0,0))
t = 0.301 ; Y = ((11.2023,0,0),(-4.89381,0,0))
t = 0.302 ; Y = ((11.1974,0,0),(-4.9048,0,0))
t = 0.303 ; Y = ((11.1925,0,0),(-4.91575,0,0))
t = 0.304 ; Y = ((11.1876,0,0),(-4.92665,0,0))
t = 0.305 ; Y = ((11.1826,0,0),(-4.9375,0,0))
t = 0.306 ; Y = ((11.1777,0,0),(-4.94831,0,0))
t = 0.307 ; Y = ((11.1727,0,0),(-4.95906,0,0))
t = 0.308 ; Y = ((11.1678,0,0),(-4.96976,0,0))
t = 0.309 ; Y = ((11.1628,0,0),(-4.98041,0,0))
t = 0.31 ; Y = ((11.1578,0,0),(-4.99102,0,0))
t = 0.311 ; Y = ((11.1528,0,0),(-5.00157,0,0))
t = 0.312 ; Y = ((11.1478,0,0),(-5.01207,0,0))
t = 0.313 ; Y = ((11.1428,0,0),(-5.02253,0,0))
t = 0.314 ; Y = ((11.1378,0,0),(-5.03293,0,0))
t = 0.315 ; Y = ((11.1327,0,0),(-5.04328,0,0))
t = 0.316 ; Y = ((11.1277,0,0),(-5.05358,0,0))
t = 0.317 ; Y = ((11.1226,0,0),(-5.06384,0,0))
t = 0.318 ; Y = ((11.1176,0,0),(-5.07404,0,0))
t = 0.319 ; Y = ((11.1125,0,0),(-5.08419,0,0))
t = 0.32 ; Y = ((11.1074,0,0),(-5.09429,0,0))
t = 0.321 ; Y = ((11.1023,0,0),(-5.10433,0,0))
t = 0.322 ; Y = ((11.0972,0,0),(-5.11433,0,0))
t = 0.323 ; Y = ((11.0921,0,0),(-5.12428,0,0))
t = 0.324 ; Y = ((11.0869,0,0),(-5.13417,0,0))
t = 0.325 ; Y = ((11.0818,0,0),(-5.14402,0,0))
t = 0.326 ; Y = ((11.0766,0,0),(-5.15381,0,0))
t = 0.327 ; Y = ((11.0715,0,0),(-5.16355,0,0))
t = 0.328 ; Y = ((11.0663,0,0),(-5.17324,0,0))
t = 0.329 ; Y = ((11.0611,0,0),(-5.18288,0,0))
t = 0.33 ; Y = ((11.0559,0,0),(-5.19246,0,0))
t = 0.331 ; Y = ((11.0508,0,0),(-5.20199,0,0))
t = 0.332 ; Y = ((11.0455,0,0),(-5.21148,0,0))
t = 0.333 ; Y = ((11.0403,0,0),(-5.2209,0,0))
t = 0.334 ; Y = ((11.0351,0,0),(-5.23028,0,0))
t = 0.335 ; Y = ((11.0299,0,0),(-5.23961,0,0))
t = 0.336 ; Y = ((11.0246,0,0),(-5.24888,0,0))
t = 0.337 ; Y = ((11.0194,0,0),(-5.2581,0,0))
t = 0.338 ; Y = ((11.0141,0,0),(-5.26727,0,0))
t = 0.339 ; Y = ((11.0088,0,0),(-5.27638,0,0))
t = 0.34 ; Y = ((11.0036,0,0),(-5.28544,0,0))
t = 0.341 ; Y = ((10.9983,0,0),(-5.29445,0,0))
t = 0.342 ; Y = ((10.993,0,0),(-5.30341,0,0))
t = 0.343 ; Y = ((10.9877,0,0),(-5.31231,0,0))
t = 0.344 ; Y = ((10.9823,0,0),(-5.32116,0,0))
t = 0.345 ; Y = ((10.977,0,0),(-5.32996,0,0))
t = 0.346 ; Y = ((10.9717,0,0),(-5.3387,0,0))
t = 0.347 ; Y = ((10.9663,0,0),(-5.34739,0,0))
t = 0.348 ; Y = ((10.961,0,0),(-5.35603,0,0))
t = 0.349 ; Y = ((10.9556,0,0),(-5.36461,0,0))
t = 0.35 ; Y = ((10.9503,0,0),(-5.37314,0,0))
t = 0.351 ; Y = ((10.9449,0,0),(-5.38162,0,0))
t = 0.352 ; Y = ((10.9395,0,0),(-5.39004,0,0))
t = 0.353 ; Y = ((10.9341,0,0),(-5.39841,0,0))
t = 0.354 ; Y = ((10.9287,0,0),(-5.40672,0,0))
t = 0.355 ; Y = ((10.9233,0,0),(-5.41498,0,0))
t = 0.356 ; Y = ((10.9179,0,0),(-5.42319,0,0))
t = 0.357 ; Y = ((10.9124,0,0),(-5.43134,0,0))
t = 0.358 ; Y = ((10.907,0,0),(-5.43944,0,0))
t = 0.359 ; Y = ((10.9016,0,0),(-5.44748,0,0))
t = 0.36 ; Y = ((10.8961,0,0),(-5.45547,0,0))
t = 0.361 ; Y = ((10.8906,0,0),(-5.4634,0,0))
t = 0.362 ; Y = ((10.8852,0,0),(-5.47128,0,0))
t = 0.363 ; Y = ((10.8797,0,0),(-5.4791,0,0))
t = 0.364 ; Y = ((10.8742,0,0),(-5.48687,0,0))
t = 0.365 ; Y = ((10.8687,0,0),(-5.49459,0,0))
t = 0.366 ; Y = ((10.8632,0,0),(-5.50225,0,0))
t = 0.367 ; Y = ((10.8577,0,0),(-5.50985,0,0))
t = 0.368 ; Y = ((10.8522,0,0),(-5.5174,0,0))
t = 0.369 ; Y = ((10.8467,0,0),(-5.5249,0,0))
t = 0.37 ; Y = ((10.8412,0,0),(-5.53234,0,0))
t = 0.371 ; Y = ((10.8356,0,0),(-5.53972,0,0))
t = 0.372 ; Y = ((10.8301,0,0),(-5.54705,0,0))
t = 0.373 ; Y = ((10.8245,0,0),(-5.55432,0,0))
t = 0.374 ; Y = ((10.819,0,0),(-5.56154,0,0))
t = 0.375 ; Y = ((10.8134,0,0),(-5.5687,0,0))
t = 0.376 ; Y = ((10.8078,0,0),(-5.57581,0,0))
t = 0.377 ; Y = ((10.8023,0,0),(-5.58286,0,0))
t = 0.378 ; Y = ((10.7967,0,0),(-5.58985,0,0))
t = 0.379 ; Y = ((10.7911,0,0),(-5.59679,0,0))
t = 0.38 ; Y = ((10.7855,0,0),(-5.60367,0,0))
t = 0.381 ; Y = ((10.7799,0,0),(-5.6105,0,0))
t = 0.382 ; Y = ((10.7743,0,0),(-5.61727,0,0))
t = 0.383 ; Y = ((10.7686,0,0),(-5.62399,0,0))
t = 0.384 ; Y = ((10.763,0,0),(-5.63064,0,0))
t = 0.385 ; Y = ((10.7574,0,0),(-5.63725,0,0))
t = 0.386 ; Y = ((10.7517,0,0),(-5.64379,0,0))
t = 0.387 ; Y = ((10.7461,0,0),(-5.65028,0,0))
t = 0.388 ; Y = ((10.7404,0,0),(-5.65671,0,0))
t = 0.389 ; Y = ((10.7348,0,0),(-5.66309,0,0))
t = 0.39 ; Y = ((10.7291,0,0),(-5.66941,0,0))
t = 0.391 ; Y = ((10.7234,0,0),(-5.67567,0,0))
t = 0.392 ; Y = ((10.7178,0,0),(-5.68188,0,0))
t = 0.393 ; Y = ((10.7121,0,0),(-5.68803,0,0))
t = 0.394 ; Y = ((10.7064,0,0),(-5.69412,0,0))
t = 0.395 ; Y = ((10.7007,0,0),(-5.70016,0,0))
t = 0.396 ; Y = ((10.695,0,0),(-5.70613,0,0))
t = 0.397 ; Y = ((10.6893,0,0),(-5.71205,0,0))
